,Classname,Filename,Classfolder,Datasetname
0,Nissan Sentra,55 NissanSentra56.png,Nissan Sentra,Custom
1,Nissan Sentra,158 NissanSentra165.jpeg,Nissan Sentra,Custom
2,Nissan Sentra,160 NissanSentra167.jpeg,Nissan Sentra,Custom
3,Nissan Sentra,13 NissanSentra13.jpeg,Nissan Sentra,Custom
4,Nissan Sentra,177 NissanSentra188.jpeg,Nissan Sentra,Custom
5,Nissan Sentra,9 NissanSentra9.jpeg,Nissan Sentra,Custom
6,Nissan Sentra,131 NissanSentra138.png,Nissan Sentra,Custom
7,Nissan Sentra,143 NissanSentra150.jpeg,Nissan Sentra,Custom
8,Nissan Sentra,105 NissanSentra111.jpeg,Nissan Sentra,Custom
9,Nissan Sentra,138 NissanSentra145.png,Nissan Sentra,Custom
10,Nissan Sentra,6 NissanSentra6.jpeg,Nissan Sentra,Custom
11,Nissan Sentra,67 NissanSentra68.jpeg,Nissan Sentra,Custom
12,Nissan Sentra,150 NissanSentra157.jpeg,Nissan Sentra,Custom
13,Nissan Sentra,92 NissanSentra97.jpeg,Nissan Sentra,Custom
14,Nissan Sentra,93 NissanSentra98.jpeg,Nissan Sentra,Custom
15,Nissan Sentra,25 NissanSentra25.jpeg,Nissan Sentra,Custom
16,Nissan Sentra,184 NissanSentra195.png,Nissan Sentra,Custom
17,Nissan Sentra,57 NissanSentra58.png,Nissan Sentra,Custom
18,Nissan Sentra,34 NissanSentra34.jpeg,Nissan Sentra,Custom
19,Nissan Sentra,24 NissanSentra24.jpeg,Nissan Sentra,Custom
20,Nissan Sentra,18 NissanSentra18.png,Nissan Sentra,Custom
21,Nissan Sentra,63 NissanSentra64.jpeg,Nissan Sentra,Custom
22,Nissan Sentra,33 NissanSentra33.jpeg,Nissan Sentra,Custom
23,Nissan Sentra,51 NissanSentra52.png,Nissan Sentra,Custom
24,Nissan Sentra,147 NissanSentra154.jpeg,Nissan Sentra,Custom
25,Nissan Sentra,139 NissanSentra146.png,Nissan Sentra,Custom
26,Nissan Sentra,100 NissanSentra106.png,Nissan Sentra,Custom
27,Nissan Sentra,99 NissanSentra105.jpeg,Nissan Sentra,Custom
28,Nissan Sentra,132 NissanSentra139.jpeg,Nissan Sentra,Custom
29,Nissan Sentra,163 NissanSentra170.jpeg,Nissan Sentra,Custom
30,Nissan Sentra,15 NissanSentra15.webp,Nissan Sentra,Custom
31,Nissan Sentra,172 NissanSentra183.jpeg,Nissan Sentra,Custom
32,Nissan Sentra,140 NissanSentra147.jpeg,Nissan Sentra,Custom
33,Nissan Sentra,128 NissanSentra135.jpeg,Nissan Sentra,Custom
34,Nissan Sentra,169 NissanSentra176.webp,Nissan Sentra,Custom
35,Nissan Sentra,104 NissanSentra110.jpeg,Nissan Sentra,Custom
36,Nissan Sentra,77 NissanSentra79.jpeg,Nissan Sentra,Custom
37,Nissan Sentra,168 NissanSentra175.png,Nissan Sentra,Custom
38,Nissan Sentra,2 NissanSentra2.jpeg,Nissan Sentra,Custom
39,Nissan Sentra,133 NissanSentra140.jpeg,Nissan Sentra,Custom
40,Nissan Sentra,49 NissanSentra50.jpeg,Nissan Sentra,Custom
41,Nissan Sentra,35 NissanSentra35.jpeg,Nissan Sentra,Custom
42,Nissan Sentra,16 NissanSentra16.jpeg,Nissan Sentra,Custom
43,Nissan Sentra,119 NissanSentra125.jpeg,Nissan Sentra,Custom
44,Nissan Sentra,53 NissanSentra54.png,Nissan Sentra,Custom
45,Nissan Sentra,175 NissanSentra186.png,Nissan Sentra,Custom
46,Nissan Sentra,145 NissanSentra152.png,Nissan Sentra,Custom
47,Nissan Sentra,81 NissanSentra84.jpeg,Nissan Sentra,Custom
48,Nissan Sentra,94 NissanSentra99.jpeg,Nissan Sentra,Custom
49,Nissan Sentra,38 NissanSentra38.jpeg,Nissan Sentra,Custom
50,Nissan Sentra,70 NissanSentra71.jpeg,Nissan Sentra,Custom
51,Nissan Sentra,162 NissanSentra169.jpeg,Nissan Sentra,Custom
52,Nissan Sentra,4 NissanSentra4.png,Nissan Sentra,Custom
53,Nissan Sentra,151 NissanSentra158.jpeg,Nissan Sentra,Custom
54,Nissan Sentra,124 NissanSentra130.jpeg,Nissan Sentra,Custom
55,Nissan Sentra,173 NissanSentra184.jpeg,Nissan Sentra,Custom
56,Nissan Sentra,74 NissanSentra76.png,Nissan Sentra,Custom
57,Nissan Sentra,165 NissanSentra172.jpeg,Nissan Sentra,Custom
58,Nissan Sentra,5 NissanSentra5.jpeg,Nissan Sentra,Custom
59,Nissan Sentra,123 NissanSentra129.jpeg,Nissan Sentra,Custom
60,Nissan Sentra,101 NissanSentra107.jpeg,Nissan Sentra,Custom
61,Nissan Sentra,167 NissanSentra174.jpeg,Nissan Sentra,Custom
62,Nissan Sentra,3 NissanSentra3.png,Nissan Sentra,Custom
63,Nissan Sentra,181 NissanSentra192.jpeg,Nissan Sentra,Custom
64,Nissan Sentra,153 NissanSentra160.jpeg,Nissan Sentra,Custom
65,Nissan Sentra,28 NissanSentra28.jpeg,Nissan Sentra,Custom
66,Nissan Sentra,170 NissanSentra178.png,Nissan Sentra,Custom
